 ,Category,Prompt,Correct Answer (English),Model,Language,Response,Accuracy Score,Sentiment Score,Response Length
1,Factual QA,What is the chemical symbol for gold?,Au,Gemini 3 Pro,English,The chemical symbol for gold is Au.,0.3598,3,7
1,Factual QA,¿Cuál es el símbolo químico del oro?,Au,Gemini 3 Pro,Spanish,El símbolo químico del oro es Au.,0.3607,3,7
1,Factual QA,What is the chemical symbol for gold?,Au,Microsoft Copilot Pro,English,"The chemical symbol for gold is Au.
This symbol comes from the Latin word aurum, meaning “shining dawn” or “gold.”",0.3278,3,19
1,Factual QA,¿Cuál es el símbolo químico del oro?,Au,Microsoft Copilot Pro,Spanish,El símbolo químico del oro es Au.,0.3607,3,7
1,Factual QA,What is the chemical symbol for gold?,Au,LLaMA 3.2 3B,English,The chemical symbol for gold is Au.,0.3598,3,7
1,Factual QA,¿Cuál es el símbolo químico del oro?,Au,LLaMA 3.2 3B,Spanish,"El símbolo químico del oro es Au.
",0.3607,3,7
2,Factual QA,How many bones are in the adult human body?,206,Gemini 3 Pro,English,An adult human body typically has 206 bones.,0.371,3,8
2,Factual QA,¿Cuántos huesos hay en el cuerpo humano adulto?,206,Gemini 3 Pro,Spanish,"Un cuerpo humano adulto tiene, por lo general, 206 huesos.",0.3735,3,10
2,Factual QA,How many bones are in the adult human body?,206,Microsoft Copilot Pro,English,An adult human body typically has 206 bones.,0.371,3,8
2,Factual QA,¿Cuántos huesos hay en el cuerpo humano adulto?,206,Microsoft Copilot Pro,Spanish,En el cuerpo humano adulto hay 206 huesos.,0.3764,2,8
2,Factual QA,How many bones are in the adult human body?,206,LLaMA 3.2 3B,English,There are 206 bones in the adult human body.,0.3753,2,9
2,Factual QA,¿Cuántos huesos hay en el cuerpo humano adulto?,206,LLaMA 3.2 3B,Spanish,"En el cuerpo humano adulto, hay 206 huesos. Estos huesos forman la estructura ósea del cuerpo y proporcionan apoyo, movilidad y protección a los órganos internos.",0.244,4,26
3,Factual QA,What is the largest planet in the solar system?,Jupiter,Gemini 3 Pro,English,The largest planet in our solar system is Jupiter.,0.7039,1,9
3,Factual QA,¿Cuál es el planeta más grande del sistema solar?,Jupiter,Gemini 3 Pro,Spanish,El planeta más grande de nuestro sistema solar es Júpiter.,0.703,5,10
3,Factual QA,What is the largest planet in the solar system?,Jupiter,Microsoft Copilot Pro,English,The largest planet in the solar system is Jupiter.,0.7021,1,9
