Prompt ID,Category,Prompt,Correct Answer (English),Language,Response,Accuracy Score,Sentiment Score,Response Length
1,Factual QA,What is the chemical symbol for gold?,Au,English,Au,1,3,1
1,Factual QA,¿Cuál es el símbolo químico del oro?,Au,Spanish,Au,1,3,1
2,Factual QA,How many bones are in the adult human body?,206,English,206,1,4,1
2,Factual QA,¿Cuántos huesos hay en el cuerpo humano adulto?,206,Spanish,206,1,4,1
3,Factual QA,What is the largest planet in the solar system?,Jupiter,English,Jupiter.,0.9756,5,1
3,Factual QA,¿Cuál es el planeta más grande del sistema solar?,Jupiter,Spanish,Júpiter,0.9636,5,1
4,Factual QA,In what year did the First World War end?,1918,English,1918,1,5,1
4,Factual QA,¿En qué año terminó la Primera Guerra Mundial?,1918,Spanish,1918,1,5,1
5,Factual QA,"What is the speed of light in a vacuum, in meters per second?","299,792,458 m/s",English,"299,792,458 m/s",1,1,2
5,Factual QA,"¿Cuál es la velocidad de la luz en el vacío, en metros por segundo?","299,792,458 m/s",Spanish,299.792.458,0.8292,1,1
6,Factual QA,What element has atomic number 1?,Hydrogen,English,Hydrogen,1,5,1
6,Factual QA,¿Qué elemento tiene el número atómico 1?,Hydrogen,Spanish,Hidrógeno.,0.3575,5,1
7,Factual QA,How many degrees are in a full circle?,360,English,360,1,3,1
7,Factual QA,¿Cuántos grados hay en un círculo completo?,360,Spanish,360 grados.,0.7741,3,2
8,Reasoning,"If a train travels 60 km/h for 2.5 hours, how far does it travel?",150 km,English,120 km,0.9145,5,2
8,Reasoning,"Si un tren circula a 60 km/h durante 2,5 horas, ¿qué distancia recorre?",150 km,Spanish,120 km,0.9145,5,2
9,Reasoning,"What is the next number in the sequence: 2, 4, 8, 16, 32, ___?",64,English,64,1,4,1
9,Reasoning,"¿Cuál es el siguiente número de la secuencia: 2, 4, 8, 16, 32, ___?",64,Spanish,64,1,4,1
10,Reasoning,A rectangle has a length of 9 cm and a width of 4 cm. What is its area?,36 cm²,English,36,0.6448,4,1
10,Reasoning,Un rectángulo mide 9 cm de largo y 4 cm de ancho. ¿Cuál es su área?,36 cm²,Spanish,36,0.6448,4,1
11,Reasoning,"If all Blurps are Glorps, and all Glorps are Flurps, are all Blurps Flurps?",Yes,English,Yes.,0.9765,5,1
11,Reasoning,"Si todos los Blurps son Glorps y todos los Glorps son Flurps, ¿son todos los Blurps Flurps?",Yes,Spanish,Sí,0.9406,3,1
12,Reasoning,What is 15% of 200?,30,English,30,1,3,1
12,Reasoning,¿Cuánto es el 15 % de 200?,30,Spanish,30,1,3,1
13,Reasoning,A bag contains 3 red balls and 7 blue balls. What is the probability of randomly drawing a red ball?,3/10,English,10-Mar,0.6395,1,1
13,Reasoning,Una bolsa contiene 3 bolas rojas y 7 bolas azules. ¿Cuál es la probabilidad de sacar al azar una bola roja?,3/10,Spanish,10-Mar,0.6395,1,1
14,Reasoning,"If you reverse the digits of 47 and subtract the smaller number from the larger, what do you get?",27,English,74 - 47 = 27,0.7632,4,5
14,Reasoning,"Si inviertes los dígitos de 47 y restas el número más pequeño del mayor, ¿qué resultado obtienes?",27,Spanish,74 - 4 = 70,0.4968,5,5
15,Explanation,Why does the sky appear blue during the day?,"Because the atmosphere scatters shorter (blue) wavelengths of sunlight more than longer wavelengths, a phenomenon called Rayleigh scattering.",English,"The sky appears blue because of a phenomenon called Rayleigh scattering, where shorter (blue) wavelengths of light are scattered more than longer (red) wavelengths by the tiny molecules of gases in the atmosphere.",0.9015,2,33
