Prompt,Language,Correct Answer
What is the chemical symbol for gold?,English,Au
¿Cuál es el símbolo químico del oro?,Spanish,Au
How many bones are in the adult human body?,English,206
¿Cuántos huesos hay en el cuerpo humano adulto?,Spanish,206
What is the largest planet in the solar system?,English,Jupiter
¿Cuál es el planeta más grande del sistema solar?,Spanish,Júpiter
In what year did the First World War end?,English,1918
¿En qué año terminó la Primera Guerra Mundial?,Spanish,1918
"What is the speed of light in a vacuum, in meters per second?",English,"299,792,458 m/s"
"¿Cuál es la velocidad de la luz en el vacío, en metros por segundo?",Spanish,"299,792,458 m/s"
What element has atomic number 1?,English,Hydrogen
¿Qué elemento tiene el número atómico 1?,Spanish,Hidrógeno
How many degrees are in a full circle?,English,360
¿Cuántos grados hay en un círculo completo?,Spanish,360
What is the hardest natural substance on Earth?,English,Diamond
¿Cuál es la sustancia natural más dura que existe en la Tierra?,Spanish,Diamante
What is the smallest prime number?,English,2
¿Cuál es el número primo más pequeño?,Spanish,2
What organ in the human body produces insulin?,English,The pancreas
¿Qué órgano del cuerpo humano produce insulina?,Spanish,El páncreas
How many chromosomes does a typical human cell contain?,English,46
¿Cuántos cromosomas contiene una célula humana típica?,Spanish,46
What is the chemical formula for water?,English,H₂O
¿Cuál es la fórmula química del agua?,Spanish,H₂O
What is the most abundant gas in Earth's atmosphere?,English,Nitrogen
¿Cuál es el gas más abundante en la atmósfera terrestre?,Spanish,Nitrógeno
What is the square root of 144?,English,12
¿Cuál es la raíz cuadrada de 144?,Spanish,12
How many sides does a hexagon have?,English,6
¿Cuántos lados tiene un hexágono?,Spanish,6
What planet is closest to the Sun?,English,Mercury
¿Qué planeta es el más cercano al Sol?,Spanish,Mercurio
What is the powerhouse of the cell?,English,The mitochondria
¿Cuál es la central energética de la célula?,Spanish,La mitocondria
"In the metric system, how many meters are in one kilometer?",English,"1,000"
"En el sistema métrico, ¿cuántos metros hay en un kilómetro?",Spanish,"1,000"
¿Cuál es el punto de congelación del agua en grados Celsius?,English,0°C
