Prompt ID,Category,Few-Shot Prompt,Model,Language,Response,Sentiment Score,Response Length
1,Factual QA,Q: What is the chemical symbol for gold? A: Au. Q: How many bones are in the adult human body? A: 206. Q: What is the largest planet in the solar system? A: Jupiter.,Gemini 3 Pro,English,Q: What is the capital of France? A: Paris. Q: Which element has the atomic number 1? A: Hydrogen. Q: What is the fastest land animal? A: The cheetah.,1,29
1,Factual QA,P: ¿Cuál es el símbolo químico del oro? R: Au. P: ¿Cuántos huesos hay en el cuerpo humano adulto? R: 206. P: ¿Cuál es el planeta más grande del sistema solar? R: Júpiter.,Gemini 3 Pro,Spanish,"P: ¿Cuál es el océano más grande del mundo?
R: El océano Pacífico.

P: ¿En qué año llegó el hombre a la Luna?
R: 1969.

P: ¿Cuál es el gas más abundante en la atmósfera de la Tierra?
R: El nitrógeno.",1,36
1,Factual QA,Q: What is the chemical symbol for gold? A: Au. Q: How many bones are in the adult human body? A: 206. Q: What is the largest planet in the solar system? A: Jupiter.,Microsoft Copilot Pro,English,"All three answers are correct ✅

Chemical symbol for gold: Au
Number of bones in the adult human body: 206
Largest planet in the solar system: Jupiter

If you’d like, I can also explain why each answer is correct or turn these into a quick quiz.",4,42
1,Factual QA,P: ¿Cuál es el símbolo químico del oro? R: Au. P: ¿Cuántos huesos hay en el cuerpo humano adulto? R: 206. P: ¿Cuál es el planeta más grande del sistema solar? R: Júpiter.,Microsoft Copilot Pro,Spanish,"Todas las respuestas que das son correctas ✅. Aquí va la confirmación, de forma clara y ordenada:


¿Cuál es el símbolo químico del oro?
✅ Au


¿Cuántos huesos hay en el cuerpo humano adulto?
✅ 206


¿Cuál es el planeta más grande del sistema solar?
✅ Júpiter


Si quieres continuar con más preguntas, convertirlo en un cuestionario, o elevar el nivel (ciencia, historia, etc.), dime y seguimos 🙂",4,61
1,Factual QA,Q: What is the chemical symbol for gold? A: Au. Q: How many bones are in the adult human body? A: 206. Q: What is the largest planet in the solar system? A: Jupiter.,LLaMA 3.2 3B,English,"Here are the answers:

1. The chemical symbol for gold is indeed Au.
2. There are 206 bones in the adult human body.
3. The largest planet in our solar system is indeed Jupiter.",3,31
1,Factual QA,P: ¿Cuál es el símbolo químico del oro? R: Au. P: ¿Cuántos huesos hay en el cuerpo humano adulto? R: 206. P: ¿Cuál es el planeta más grande del sistema solar? R: Júpiter.,LLaMA 3.2 3B,Spanish,"P: ¿Cuál es el símbolo químico de la plata? 
R: Ag.

P: ¿Cuántos sentidos tiene el hombre?
R: Cinco.

P: ¿Cuál es el planeta más grande del sistema solar?
R: Júpiter.",1,27
2,Factual QA,"Q: In what year did the First World War end? A: 1918. Q: What is the speed of light in a vacuum, in meters per second? A: 299,792,458 m/s. Q: What element has atomic number 1? A: Hydrogen.",Gemini 3 Pro,English,"Q: Who wrote the play ""Romeo and Juliet""? A: William Shakespeare. Q: What is the tallest mountain in the world? A: Mount Everest. Q: What is the hardest natural substance on Earth? A: Diamond.",1,34
2,Factual QA,"P: ¿En qué año terminó la Primera Guerra Mundial? R: En 1918. P: ¿Cuál es la velocidad de la luz en el vacío, en metros por segundo? R: 299 792 458 m/s. P: ¿Qué elemento tiene el número atómico 1? R: El hidrógeno.",Gemini 3 Pro,Spanish,"P: ¿Cuál es el río más largo del mundo?
R: El río Amazonas.

P: ¿Quién pintó la Mona Lisa?
R: Leonardo da Vinci.

P: ¿Cuál es el metal más abundante en la corteza terrestre?
R: El aluminio.",1,32
2,Factual QA,"Q: In what year did the First World War end? A: 1918. Q: What is the speed of light in a vacuum, in meters per second? A: 299,792,458 m/s. Q: What element has atomic number 1? A: Hydrogen.",Microsoft Copilot Pro,English,"All three answers are correct ✅

Year the First World War ended: 1918
Speed of light in a vacuum: 299,792,458 meters per second
Element with atomic number 1: Hydrogen

Everything checks out. Let me know if you want explanations, follow‑up facts, or another quick knowledge check.",3,42
2,Factual QA,"P: ¿En qué año terminó la Primera Guerra Mundial? R: En 1918. P: ¿Cuál es la velocidad de la luz en el vacío, en metros por segundo? R: 299 792 458 m/s. P: ¿Qué elemento tiene el número atómico 1? R: El hidrógeno.",Microsoft Copilot Pro,Spanish,"Todas las respuestas que proporcionas son correctas ✅. Confirmación rápida:


¿En qué año terminó la Primera Guerra Mundial?
✅ 1918


¿Cuál es la velocidad de la luz en el vacío, en metros por segundo?
✅ 299 792 458 m/s


¿Qué elemento tiene el número atómico 1?
✅ El hidrógeno


Si quieres, puedo:

Seguir validando más preguntas
Convertirlas en un examen con puntuación
Aumentar la dificultad (ciencia, historia, cultura general, etc.)

Tú me dices 👍",3,61
2,Factual QA,"Q: In what year did the First World War end? A: 1918. Q: What is the speed of light in a vacuum, in meters per second? A: 299,792,458 m/s. Q: What element has atomic number 1? A: Hydrogen.",LLaMA 3.2 3B,English,"It seems like you're providing correct answers to some questions.

To confirm:

* The First World War indeed ended in 1918.
* The speed of light in a vacuum is approximately 299,792,458 meters per second.
* Hydrogen has an atomic number of 1.

However, I couldn't verify the accuracy of your answer for ""What element has atomic number 1?"" as it's not entirely correct. Helium actually has an atomic number of 2, and hydrogen has an atomic number of 1.",3,75
2,Factual QA,"P: ¿En qué año terminó la Primera Guerra Mundial? R: En 1918. P: ¿Cuál es la velocidad de la luz en el vacío, en metros por segundo? R: 299 792 458 m/s. P: ¿Qué elemento tiene el número atómico 1? R: El hidrógeno.",LLaMA 3.2 3B,Spanish,"P: ¿En qué año se firmó la Declaración Universal de Derechos Humanos? R: En 1948. 

P: ¿Cuál es el nombre del planeta más lejano del Sol en nuestro sistema solar? R: Neptuno.

P: ¿Qué elemento tiene el número atómico 80? R: Mercurio.",1,41
3,Factual QA,Q: How many degrees are in a full circle? A: 360. Q: What is the hardest natural substance on Earth? A: Diamond. Q: What is the smallest prime number? A: 2.,Gemini 3 Pro,English,"Q: What is the main gas found in the Earth's atmosphere? A: Nitrogen.

Q: How many continents are there on Earth? A: 7.

Q: What is the chemical symbol for silver? A: Ag.",3,31
3,Factual QA,P: ¿Cuántos grados hay en un círculo completo? R: 360. P: ¿Cuál es la sustancia natural más dura que existe en la Tierra? R: El diamante. P: ¿Cuál es el número primo más pequeño? R: 2.,Gemini 3 Pro,Spanish,"P: ¿Cuál es el planeta más cercano al Sol?
R: Mercurio.

P: ¿Cuántos colores tiene el arcoíris tradicionalmente?
R: 7.

P: ¿Cuál es el continente más frío de la Tierra?
R: La Antártida.",3,28
3,Factual QA,Q: How many degrees are in a full circle? A: 360. Q: What is the hardest natural substance on Earth? A: Diamond. Q: What is the smallest prime number? A: 2.,Microsoft Copilot Pro,English,"All three answers are correct ✅

Degrees in a full circle: 360
Hardest natural substance on Earth: Diamond
Smallest prime number: 2

Everything checks out perfectly. Want to keep going with more questions?",4,29
3,Factual QA,P: ¿Cuántos grados hay en un círculo completo? R: 360. P: ¿Cuál es la sustancia natural más dura que existe en la Tierra? R: El diamante. P: ¿Cuál es el número primo más pequeño? R: 2.,Microsoft Copilot Pro,Spanish,"Todas las respuestas son correctas ✅. Verificación breve:


¿Cuántos grados hay en un círculo completo?
✅ 360


¿Cuál es la sustancia natural más dura que existe en la Tierra?
✅ El diamante


¿Cuál es el número primo más pequeño?
✅ 2


Sigues con pleno acierto 👍
Cuando quieras, podemos continuar con más preguntas, subir la dificultad o convertir esto en un test con puntuación.",4,56
3,Factual QA,Q: How many degrees are in a full circle? A: 360. Q: What is the hardest natural substance on Earth? A: Diamond. Q: What is the smallest prime number? A: 2.,LLaMA 3.2 3B,English,"It seems like you're testing my knowledge with some basic facts.

To confirm:

1. Yes, there are 360 degrees in a full circle.
2. Diamond is indeed considered the hardest natural substance on Earth.
3. The smallest prime number is indeed 2.

Let me know if I got them all correct!",3,46
3,Factual QA,P: ¿Cuántos grados hay en un círculo completo? R: 360. P: ¿Cuál es la sustancia natural más dura que existe en la Tierra? R: El diamante. P: ¿Cuál es el número primo más pequeño? R: 2.,LLaMA 3.2 3B,Spanish,"P: ¿Cuál es el elemento químico más ligero? 
R: El hidrógeno.",2,11
4,Factual QA,Q: What organ in the human body produces insulin? A: The pancreas. Q: How many chromosomes does a typical human cell contain? A: 46. Q: What is the chemical formula for water? A: H₂O.,Gemini 3 Pro,English,"Q: What is the largest ocean on Earth? A: The Pacific Ocean.

Q: Who painted the Mona Lisa? A: Leonardo da Vinci.

Q: How many sides does a hexagon have? A: 6.",1,30
4,Factual QA,P: ¿Qué órgano del cuerpo humano produce insulina? R: El páncreas. P: ¿Cuántos cromosomas contiene una célula humana típica? R: 46. P: ¿Cuál es la fórmula química del agua? R: H₂O.,Gemini 3 Pro,Spanish,"P: ¿Cuál es el animal terrestre más rápido del mundo?
R: El guepardo.

P: ¿Cuál es la estrella más cercana a la Tierra?
R: El Sol.

P: ¿Cuál es el hueso más largo del cuerpo humano?
R: El fémur.",1,34
4,Factual QA,Q: What organ in the human body produces insulin? A: The pancreas. Q: How many chromosomes does a typical human cell contain? A: 46. Q: What is the chemical formula for water? A: H₂O.,Microsoft Copilot Pro,English,"All three answers are correct ✅

Organ that produces insulin: The pancreas
Number of chromosomes in a typical human cell: 46
Chemical formula for water: H₂O

Everything checks out. Feel free to send more questions if you’d like another quick review!
Provide your feedback on BizChat",4,41
4,Factual QA,P: ¿Qué órgano del cuerpo humano produce insulina? R: El páncreas. P: ¿Cuántos cromosomas contiene una célula humana típica? R: 46. P: ¿Cuál es la fórmula química del agua? R: H₂O.,Microsoft Copilot Pro,Spanish,"Todas las respuestas que indicas son correctas ✅. Confirmación rápida:


¿Qué órgano del cuerpo humano produce insulina?
✅ El páncreas


¿Cuántos cromosomas contiene una célula humana típica?
✅ 46


¿Cuál es la fórmula química del agua?
✅ H₂O


Excelente racha 👍
Cuando quieras, seguimos con más preguntas o subimos el nivel de dificultad.",4,45
4,Factual QA,Q: What organ in the human body produces insulin? A: The pancreas. Q: How many chromosomes does a typical human cell contain? A: 46. Q: What is the chemical formula for water? A: H₂O.,LLaMA 3.2 3B,English,"Your answers are correct:

1. The pancreas produces insulin.
2. A typical human cell contains 46 chromosomes (23 pairs).
3. The chemical formula for water is indeed H₂O.",3,25
4,Factual QA,P: ¿Qué órgano del cuerpo humano produce insulina? R: El páncreas. P: ¿Cuántos cromosomas contiene una célula humana típica? R: 46. P: ¿Cuál es la fórmula química del agua? R: H₂O.,LLaMA 3.2 3B,Spanish,"P: ¿Qué es el ADN y qué función cumple en las células humanas? R: El ADN (ácido desoxirribonucleico) es una molécula que contiene la información genética de un organismo, y su función principal es transmitir genes a las células y determinar sus características.",3,43
